Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,NSRC 2M,147.345000,+,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Northfield Skywarn,,,,
2,Winlink RMS Node,145.610000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Glenview NS9RC-10 (Packet),,,,
3,APRS Digipeater,144.390000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Northfield / Highland Park,,,,
4,NSRC-B Voice,442.095000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,NSRC-B Voice Chicago,,,,
5,NSRC 442,442.725000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,NSRC 442 Chicago,,,,
6,CFMC UHF,443.750000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,CFMC UHF / P25,,,,
7,WB9AET,146.670000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,WB9AET WAFAR,,,,
8,W9SRO,147.150000,+,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,W9SRO/CFAR,,,,
9,SARA,146.880000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,SARA,,,,
10,W9AP,147.090000,+,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,W9AP,,,,
11,KB9KRA,147.105000,+,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,50W,KB9KRA,,,,
12,W9FO,147.315000,+,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,W9FO,,,,
13,N9EP,442.800000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,N9EP,,,,
14,W9PCS,442.875000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,W9PCS,,,,
15,AIRA,443.975000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,AIRA,,,,
16,SARA UHF,444.375000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,SARA UHF,,,,
17,PAAROS 440.250,440.250000,+,5.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,PAAROS Analog/C4FM,,,,
18,PAAROS 440.500,440.500000,+,5.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,PAAROS Poland Network,,,,
19,FishFar 975,442.975000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,FishFar Skywarn,,,,
20,K9KNS,443.725000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,K9KNS,,,,
21,K9VMP,443.875000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,K9VMP Melrose Park,,,,
22,N9AWQ,443.945000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,N9AWQ Roselle YSF,,,,
23,APRS HP,144.390000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Highland Park APRS,,,,
